pc_time_s,seq_id,module_id,status,tx_drops,PF3 V,PF4 V,PF5 V,PF6 V,LT Load,LH Load,RT Load,RH Load,L Gait,R Gait,L Torque,R Torque,Cal Ready,Control Req,Assist On,H10 Assist
60.889248,9513,0xF0,0x00,0,1.19900000,2.45900011,0.56400001,0.05200000,1.50000000,1.05417717,1.01155603,0.01818880,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.889248,9514,0xF0,0x00,0,1.20000005,2.46300006,0.57300001,0.05100000,1.50000000,1.05396700,1.04047191,0.01305379,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.909533,9515,0xF0,0x00,0,1.20100009,2.45700002,0.58300000,0.04800000,1.50000000,1.05436051,1.06773984,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.909533,9516,0xF0,0x00,0,1.19700003,2.45800018,0.59700000,0.05000000,1.50000000,1.05435526,1.09579611,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.929800,9517,0xF0,0x00,0,1.19700003,2.46100020,0.60400003,0.05000000,1.50000000,1.05461729,1.12291145,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.929800,9518,0xF0,0x00,0,1.19800007,2.46200013,0.61100000,0.05200000,1.50000000,1.05448723,1.14560890,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.950132,9519,0xF0,0x00,0,1.19600010,2.46000004,0.61300004,0.05100000,1.50000000,1.05420327,1.16247380,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.950132,9520,0xF0,0x00,0,1.19600010,2.45800018,0.61600006,0.05200000,1.50000000,1.05422544,1.17519534,0.00041544,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.970584,9521,0xF0,0x00,0,1.19500005,2.46000004,0.61700004,0.05500000,1.50000000,1.05426955,1.18420160,0.00854649,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.970584,9522,0xF0,0x00,0,1.19600010,2.45900011,0.61600006,0.05300000,1.50000000,1.05408561,1.18943620,0.00429124,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.990802,9523,0xF0,0x00,0,1.19300008,2.45500016,0.60900003,0.05500000,1.50000000,1.05403781,1.19020474,0.01765035,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
60.990802,9524,0xF0,0x00,0,1.19100010,2.45800018,0.60800004,0.05100000,1.50000000,1.05440378,1.18805456,0.01439035,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.012165,9525,0xF0,0x00,0,1.19400001,2.46000004,0.60100001,0.05200000,1.50000000,1.05440819,1.18145633,0.00277735,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.012165,9526,0xF0,0x00,0,1.19300008,2.46300006,0.59500003,0.05000000,1.50000000,1.05447972,1.17137015,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.033159,9527,0xF0,0x00,0,1.19200003,2.46800017,0.58100003,0.05200000,1.50000000,1.05462837,1.15360570,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.033159,9528,0xF0,0x00,0,1.19500005,2.46300006,0.57300001,0.04900000,1.50000000,1.05456996,1.13493788,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.053621,9529,0xF0,0x00,0,1.19700003,2.46200013,0.55900002,0.05400000,1.50000000,1.05447125,1.11418438,0.00812896,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.053621,9530,0xF0,0x00,0,1.19500005,2.46000004,0.55600005,0.05200000,1.50000000,1.05426157,1.09472179,0.00786975,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.075399,9531,0xF0,0x00,0,1.19200003,2.46000004,0.55200005,0.05200000,1.50000000,1.05419993,1.07896340,0.02007313,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.075399,9532,0xF0,0x00,0,1.19200003,2.45800018,0.55100000,0.05100000,1.50000000,1.05430424,1.06820977,0.01164168,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.097896,9533,0xF0,0x00,0,1.19300008,2.46100020,0.54700005,0.05100000,1.50000000,1.05456948,1.05670428,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.097896,9534,0xF0,0x00,0,1.19300008,2.46300006,0.54300004,0.04900000,1.50000000,1.05481303,1.04550242,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.119506,9535,0xF0,0x00,0,1.19600010,2.46400023,0.53000003,0.04700000,1.50000000,1.05498850,1.02893651,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.119506,9536,0xF0,0x00,0,1.19600010,2.46300006,0.52400005,0.05100000,1.50000000,1.05485129,1.01357937,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.119506,9537,0xF0,0x00,0,1.19700003,2.46200013,0.52300000,0.05100000,1.50000000,1.05490029,1.00060654,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.140486,9538,0xF0,0x00,0,1.19800007,2.46200013,0.51700002,0.05100000,1.50000000,1.05469644,0.98888642,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.140486,9539,0xF0,0x00,0,1.19600010,2.45900011,0.51200002,0.05200000,1.50000000,1.05437982,0.97774422,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.161115,9540,0xF0,0x00,0,1.19600010,2.45900011,0.50500000,0.05100000,1.50000000,1.05428088,0.96392572,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.161115,9541,0xF0,0x00,0,1.19800007,2.46400023,0.49400002,0.04700000,1.50000000,1.05453098,0.94620383,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.182221,9542,0xF0,0x00,0,1.19500005,2.45800018,0.48600003,0.04800000,1.50000000,1.05429626,0.92783797,0.00721566,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.182221,9543,0xF0,0x00,0,1.19600010,2.46500015,0.47700003,0.04700000,1.50000000,1.05455661,0.90818107,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.203202,9544,0xF0,0x00,0,1.19800007,2.46500015,0.46600002,0.04900000,1.50000000,1.05463266,0.88891399,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.203202,9545,0xF0,0x00,0,1.19600010,2.46400023,0.45500001,0.05000000,1.50000000,1.05523896,0.86680174,0.00025235,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.224445,9546,0xF0,0x00,0,1.19900000,2.46400023,0.43300003,0.05000000,1.50000000,1.05485332,0.83762592,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.224445,9547,0xF0,0x00,0,1.19700003,2.45700002,0.42900002,0.05200000,1.50000000,1.05462372,0.80925417,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.245260,9548,0xF0,0x00,0,1.19800007,2.46000004,0.42900002,0.05100000,1.50000000,1.05483127,0.78875566,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.245260,9549,0xF0,0x00,0,1.20000005,2.46000004,0.42500001,0.04700000,1.50000000,1.05466521,0.77526730,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.267680,9550,0xF0,0x00,0,1.19600010,2.45600009,0.42500001,0.05000000,1.50000000,1.05446720,0.76600808,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.267680,9551,0xF0,0x00,0,1.19900000,2.46300006,0.42400002,0.05500000,1.50000000,1.05456436,0.75924218,0.00981905,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.289275,9552,0xF0,0x00,0,1.19800007,2.46300006,0.42300001,0.05100000,1.50000000,1.05461419,0.75443065,0.01416050,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.289275,9553,0xF0,0x00,0,1.19900000,2.46500015,0.42300001,0.05000000,1.50000000,1.05466437,0.75084698,0.01098447,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.289275,9554,0xF0,0x00,0,1.20200002,2.46300006,0.42400002,0.05400000,1.50000000,1.05482435,0.74903297,0.01188733,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.309823,9555,0xF0,0x00,0,1.19900000,2.45700002,0.42200002,0.05100000,1.50000000,1.05477881,0.74740994,0.00853531,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.309823,9556,0xF0,0x00,0,1.19900000,2.46000004,0.42200002,0.04600000,1.50000000,1.05491567,0.74621522,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.331046,9557,0xF0,0x00,0,1.20000005,2.46100020,0.42000002,0.04900000,1.50000000,1.05499494,0.74465054,0.00000000,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.331046,9558,0xF0,0x00,0,1.19800007,2.46100020,0.41900003,0.05200000,1.50000000,1.05472732,0.74287820,0.00390746,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
61.351739,9559,0xF0,0x00,0,1.20000005,2.46400023,0.42000002,0.05200000,1.50000000,1.05483580,0.74188292,0.01540765,1.00000000,2.00000000,0.00000000,0.00000000,1.00000000,1.00000000,1.00000000,1.00000000
