pc_time_s,seq_id,module_id,status,tx_drops,ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13
19.941293,6783,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.01281738
19.941293,6784,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00732422,0.00549316
19.961793,6785,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00732422,-0.00549316
19.961793,6786,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.01464844
19.982055,6787,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01831055,0.00183105
19.982055,6788,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,-0.01831055
20.002753,6789,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,-0.01464844
20.002753,6790,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,0.01098633
20.023588,6791,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01464844,-0.01831055
20.023588,6792,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00915527,0.02197266
20.044689,6793,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,-0.02746582
20.044689,6794,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01464844,0.01647949
20.066066,6795,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.01098633
20.066066,6796,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.02014160,0.01831055
20.087850,6797,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00366211,0.02014160
20.087850,6798,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,-0.00915527
20.110286,6799,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.00732422
20.110286,6800,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,-0.01098633
20.131713,6801,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,-0.01281738
20.131713,6802,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.02014160,0.01098633
20.131713,6803,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00366211,0.02014160
20.152429,6804,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.00366211
20.152429,6805,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00366211,0.01464844
20.173207,6806,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,0.00549316
20.173207,6807,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00732422,-0.01464844
20.194055,6808,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.01647949
20.194055,6809,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01647949,-0.01098633
20.215336,6810,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01831055,0.01831055
20.215336,6811,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01281738,-0.00915527
20.244821,6812,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,-0.01831055
20.244821,6813,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,0.00915527
20.244821,6814,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00732422,0.00000000
20.268466,6815,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.02014160,-0.00366211
20.268466,6816,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01098633,0.01464844
20.290286,6817,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.02380371,0.00915527
20.290286,6818,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,-0.01281738
20.290286,6819,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,0.00549316
20.310806,6820,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,0.01647949
20.310806,6821,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01464844,0.01464844
20.331316,6822,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00549316,-0.00915527
20.331316,6823,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00549316,-0.02197266
20.351905,6824,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00183105,0.00000000
20.351905,6825,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.01281738,0.02197266
20.372504,6826,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.00183105,0.00549316
20.372504,6827,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,-0.01647949,-0.02197266
20.393632,6828,0xF0,0x00,0,5.80078125,-0.83496094,5.80078125,-0.83496094,0.00000000,0.00000000,0.00000000,0.00000000,20.00000000,1.00000000,1.00000000,1.00000000,0.00000000,-0.00915527
